vin,vout,delay,frequency,H,phase
2.4,2.592727,2.545455e-06,1175.4914,0.6709109725368843,0.018800298648967127
2.403636,2.578182,1.072727e-05,1209.888,0.6088974405466064,0.0815481755930515
2.41,2.593333,1.041667e-05,1235.32,0.6368248774648329,0.08085153080649288
2.4,2.596364,1.554545e-05,1269.5899,0.6830867411971829,0.12400712115840046
2.404,2.6,1.49e-05,1297.9806,0.6807776928023223,0.12151624426036974
2.46,2.61,1.175e-05,1328.8665,0.5141080046980372,0.09810679499903714
2.4,2.596667,9.666667e-06,1366.7893,0.6841003398309374,0.0830153105243761
2.416667,2.61,1.1e-05,1394.7691,0.6684739116853331,0.09639951987630904
2.436364,2.607273,1.3e-05,1432.8058,0.5888866715039458,0.117033596557822
2.443636,2.610909,1.263636e-05,1469.2722,0.5751044138792092,0.11665520464841567
2.454545,2.610909,1.045455e-05,1497.9113,0.5364147342902497,0.09839461016534681
2.436364,2.610909,1.154546e-05,1507.8549,0.6009912319946475,0.10938320918943871
2.443636,2.629091,8.999999e-06,1535.068,0.6353820776992682,0.08680604068297729
2.443637,2.64,1.027273e-05,1544.4088,0.6713446909752383,0.09968458600034465
2.418182,2.650909,8.818182e-06,1591.7646,0.7981167093529962,0.08819374171653975
2.443636,2.658182,8.454545e-06,1609.9837,0.7309639647339788,0.08552470552584206
2.429091,2.68,7.181818e-06,1637.9497,0.8538201825994025,0.07391197791301042
2.443636,2.669091,5.363637e-06,1674.9765,0.7665373256290242,0.05644792272862803
2.414546,2.676364,5.363636e-06,1693.7904,0.8941939173639524,0.057081954159908396
2.425455,2.683636,7.363637e-06,1721.8778,0.8786077533896974,0.07966628513848696
2.410909,2.68,8.363637e-06,1742.2276,0.9190795166078064,0.09155455014279866
2.421818,2.676363,7e-06,1767.8944,0.8680702901784656,0.07775605683107549
2.403636,2.68,7.272727e-06,1796.2799,0.9453218815212192,0.0820826112874439
2.407273,2.683636,6.909091e-06,1832.6019,0.9439652866660515,0.07955526261325192
2.403636,2.683636,7.363636e-06,1859.4749,0.9570981838511249,0.08603249166336238
2.407273,2.709091,7.181818e-06,1898.837,1.0259649735937753,0.0856844373208817
2.403636,2.705455,7.909091e-06,1945.2478,1.0274322945804977,0.09666769733231906
2.4,2.732,1.04e-05,1973.3569,1.1253890659577792,0.12894925763097514
2.4,2.749091,1.136364e-05,1992.6235,1.179557486418553,0.14227303073122755
2.403636,2.749091,1.263636e-05,2020.2121,1.166408321596116,0.16039795482328298
2.403636,2.756364,1.318182e-05,2058.9809,1.1893573828769157,0.17053265880386034
2.4,2.763636,1.390909e-05,2067.1547,1.2253919918981633,0.1806556567308223
2.4,2.764,1.33e-05,2103.1367,1.226535939811095,0.17575148824532114
2.4,2.776,1.29e-05,2141.6109,1.2641644014242261,0.1735841820134259
2.381818,2.796363,1.327273e-05,2178.5805,1.3936994826048883,0.1816827689924101
2.373333,2.82,1.225e-05,2213.73,1.4978086079717485,0.17038862867326765
2.378182,2.825454,1.345454e-05,2243.1405,1.496863068661293,0.18962919402034506
2.396363,2.836364,1.309091e-05,2290.1809,1.4641871820768442,0.18837336411416616
2.36,2.836,1.28e-05,2310.0871,1.5958844708184474,0.18578822816032128
2.363636,2.854545,1.390909e-05,2339.6058,1.639125955235199,0.20446608194840996
2.363636,2.872727,1.363636e-05,2364.7549,1.694275204632717,0.20261167200785543
2.374545,2.865455,1.345455e-05,2402.6707,1.6322637648169422,0.20311560821594854
2.36,2.88,1.263636e-05,2430.792,1.729609695782486,0.19299659941686204
2.36,2.901818,1.454545e-05,2467.7331,1.7951633467785135,0.22553046560840906
2.36,2.905455,1.436364e-05,2505.678,1.8060430091411792,0.22613596567427477
2.36,2.941818,1.236364e-05,2550.0017,1.914075959409267,0.19809188709887746
2.36,2.989091,1.281818e-05,2587.7741,2.0525426789630123,0.20841673886299264
2.36,3.018182,1.118182e-05,2625.5938,2.136668434760442,0.18446751759236465
2.36,3.02,1.17e-05,2689.3177,2.141898799740882,0.19770053307004257
2.36,3.050909,9.272728e-06,2708.9178,2.2303450217498817,0.1578276957395836
2.36,3.11,1.033333e-05,2765.3658,2.3969677211346188,0.179544768305529
2.36,3.116363,1.045455e-05,2788.9807,2.4147207287916532,0.18320221546841664
2.36,3.133333,9.333333e-06,2831.2066,2.4618909941677307,0.1660306207036269
2.36,3.141818,9.363636e-06,2848.5804,2.4853804109148165,0.16759184141037636
2.36,3.17,1.033333e-05,2884.506,2.5629451849528984,0.18728009200298498
2.36,3.207273,1.190909e-05,2932.2783,2.664478505225036,0.21941364497604016
2.36,3.232,1.32e-05,2968.1181,2.7311869826488406,0.24616991567379806
2.36,3.24,1.172727e-05,2995.011,2.752660144730112,0.22068621914991332
2.349091,3.276364,1.5e-05,3031.7458,2.8898460875659975,0.28573530998495134
2.36,3.284,1.44e-05,3068.6755,2.869822909545931,0.27764721812306836
2.352,3.304,1.4e-05,3097.5616,2.952054424884874,0.27247574946485165
2.356364,3.352727,1.427273e-05,3144.9006,3.0631162566928816,0.28202904835145987
2.34,3.344,1.52e-05,3163.2607,3.101008227136719,0.3021053679258829
2.334546,3.378182,1.518182e-05,3206.3593,3.2096121565685145,0.3058552175776239
2.33,3.44,1.466667e-05,3254.5285,3.384050430910222,0.2999158844066447
2.33,3.446667,1.483333e-05,3290.4008,3.4008681002728163,0.3066672008451708
2.324,3.488,1.52e-05,3335.7945,3.52680705084473,0.3185831078505912
2.332,3.532,1.6e-05,3365.9717,3.60584297637109,0.3383843828771567
2.32,3.523636,1.554545e-05,3391.9588,3.6300610702153753,0.3313093825619617
2.32,3.553333,1.6e-05,3429.2574,3.702958486788379,0.3447465553634699
2.32,3.59,1.683333e-05,3467.004,3.7921292737483903,0.36669437536490773
2.32,3.6,1.7e-05,3484.4552,3.816290317527753,0.37218912117481356
2.32,3.607273,1.7e-05,3511.8327,3.8338205253555877,0.37511342557251787
2.32,3.632727,1.663636e-05,3532.5036,3.89489553800256,0.36925024412822427
2.32,3.661818,1.772727e-05,3547.145,3.9641754053735494,0.3950942139939862
2.32,3.716666,1.841667e-05,3584.9722,4.093310997465098,0.41483631412222294
2.32,3.727273,1.863636e-05,3608.6013,4.1180643689650935,0.4225517072657773
2.32,3.770909,1.863636e-05,3637.9702,4.21916134395811,0.4259906792673442
2.32,3.8,1.9e-05,3667.5307,4.28591223451821,0.4378317251495312
2.306667,3.846667,1.858333e-05,3695.3497,4.4419937847495365,0.43147829157181855
2.29,3.883333,1.866667e-05,3724.3822,4.5873830204797885,0.43681843699402045
2.288,3.904,1.84e-05,3744.0109,4.641075777473353,0.43284738269312406
2.298182,3.927273,2.027273e-05,3770.8801,4.654133460103267,0.4803245984357105
2.283637,3.934546,2.027273e-05,3788.7187,4.72535112437998,0.48259683148328353
